item,value,source_or_evidence,line_or_field,scope,actual_role,physical_or_algorithmic_basis,accepted_runtime_status,audit_conclusion
reference_window_duration_s,2.0,baseline/latest/config/estimator_config.yaml,47,initial window candidates,added to candidate duration list,configuration seed only,used in v6 as reference,not a unique persistent window
candidate_window_durations_s,"{3,5,8,12}",ov_msckf/src/run_serial_msckf_ros_free.cpp,2601-2602,initial solve,try shortest usable duration,bounded startup compute policy,fly1 selected 8 and fly3 selected 3,not continuous re-estimation
maximum_window_duration_s_,12.0,ov_msckf/src/core/OnlineAlignmentInitializer.cpp,628-641,raw buffer,prune retention upper bound,max candidate duration,metadata reports maximum_buffer_window_s=12,buffer sliding only
min_fc_samples,20,ov_msckf/src/run_serial_msckf_ros_free.cpp,2603,initial solve gate,minimum FC rows in candidate window,sample coverage gate,fly3 receipt FC=20,not release count
min_imu_samples,600,ov_msckf/src/run_serial_msckf_ros_free.cpp,2604,initial solve gate,minimum IMU rows in candidate window,sample coverage gate,fly3 receipt IMU=602,not release count
min_stereo_frames,12,ov_msckf/src/run_serial_msckf_ros_free.cpp,2605,initial solve gate,minimum selected visual frames,coverage gate,fly1 metadata visual_frames=13,not Ceres node count
min_feature_tracks,80,ov_msckf/src/run_serial_msckf_ros_free.cpp,2606,initial solve gate,minimum feature IDs,visual geometry gate,fly1 tracks=244,not release count
min_keyframes,5,ov_msckf/src/core/OnlineAlignmentInitializer.h,195,initial graph,minimum usable keyframes,observability/geometry gate,source gate only,not release count
max_keyframes,10,ov_msckf/src/core/OnlineAlignmentInitializer.h,196; OnlineAlignmentInitializer.cpp:2297-2308,initial graph,uniformly downsample graph nodes,compute bound; not a measurement law,fly1/fly3 accepted receipts selected_frame_count=10,misread as candidate update count if conflated
maximum_selected_alignment_frames,36,ov_msckf/src/run_serial_msckf_ros_free.cpp,2612,selected visual buffer,cap selector-selected frames,memory/compute cap,source configuration,not persistent solve count
minimum_solve_interval_s,0.75,ov_msckf/src/core/OnlineAlignmentInitializer.h,267; .cpp:2191-2196,between initial/retry solves,prevent too-frequent Ceres invocation,compute protection,fly3 retry interval 7.80357 s,not confirmation duration
minimum_new_selected_frames_for_resolve,3,ov_msckf/src/core/OnlineAlignmentInitializer.h,268; .cpp:2198-2203,between solves,eligibility for a new initial solve,avoid duplicate solve,source configuration,not continuous solver trigger by itself
history_length_updates,explicit count field,ov_msckf/src/core/OnlineAlignmentCandidateFilter.h,102; .cpp:669-673,candidate gate fallback,retained convergence samples,count-based fallback,API retained in current source,not time-window semantics
min_supported_updates,explicit count field,ov_msckf/src/core/OnlineAlignmentCandidateFilter.h,103; .cpp:720-723 and 850-861,candidate gate fallback,minimum accepted support events,count-based fallback,API retained in current source,not automatically derived from selected duration
required_post_feedback_stable_updates,2,ov_msckf/src/run_serial_msckf_ros_free.cpp,2617-2631,post-feedback release,number of stable updates after feedback,confirmation count rather than time,v6 runtime stable counts include 2/6 per group,not a time confirmation window
historical_candidate_update_count,10,fly1/fly3 v6 online_alignment_metadata.json,candidate_closed_loop_update_count and candidate_group_supported_update_counts,accepted candidate validation,actual FC event count in old binary,fly1=10; fly3 successful candidate=10,direct evidence of fixed-count runtime
historical_selected_frame_count,10,fly1/fly3 v6 online_alignment_attempt_receipts.json,final_candidate.selected_frame_count and selected_frame_timestamps,initial Ceres graph,source max_keyframes cap,fly1=10; fly3=10,optimization node cap not measurement count
candidate_closed_loop_visual_update_count,0,OnlineAlignmentInitializer.cpp,1599,accepted candidate validation,diagnostic/recursive visual update counter,should be future visual evidence if implemented,v6 metadata=0,no recursive visual closed loop
derive_depth_from_sliding_window,true in current runner gate factory,ov_msckf/src/run_serial_msckf_ros_free.cpp,2617-2627 and initializer 3311-3325,current unaccepted patch,attempt to derive gate depth from window,source comments claim observed stream,current source not built/accepted; duration assigned from options_.window_duration_s=max 12,not evidence of accepted sliding semantics
