condition_name,inferred_type,directory,traj_txt,bias_txt,diag_csv,vio_yaw_diag_csv,forensics_summary,gps_file,notes
cond1_nogpsz/fly1,global_yaw_oc_projection alpha=1 GPS-Z OFF,artifacts/extracted/three_condition_comparison_package_20260605_1727/three_condition_comparison/cond1_nogpsz/fly1,traj.txt,traj.txt.bias,diag.csv,yaw_diag.csv,eval_start_yaw/yaw_mode_comparison.csv,config/d455_fly1/fc_gps_cam_time.csv,Complete trajectory; GPS inferred from established fly1 analysis configuration.
cond1_nogpsz/fly2,global_yaw_oc_projection alpha=1 GPS-Z OFF,artifacts/extracted/three_condition_comparison_package_20260605_1727/three_condition_comparison/cond1_nogpsz/fly2,traj.txt,traj.txt.bias,diag.csv,yaw_diag.csv,eval_start_yaw/yaw_mode_comparison.csv,C:/Users/baloney/Desktop/20260518_gsmq_d455_fly2/result/fc_rebuild_20260525/gps_from_mems_offset447p5_cam_time.csv,Complete trajectory; camera-time GPS source documented by existing flight evaluation tooling.
cond1_nogpsz/fly3,global_yaw_oc_projection alpha=1 GPS-Z OFF,artifacts/extracted/three_condition_comparison_package_20260605_1727/three_condition_comparison/cond1_nogpsz/fly3,traj.txt,traj.txt.bias,diag.csv,yaw_diag.csv,eval_start_yaw/yaw_mode_comparison.csv,C:/Users/baloney/Desktop/20260527_gsmq_d455_fly3/result/fc_rebuild_20260527/gps_from_mems_offset438p0_cam_time.csv,Trajectory ends at 1708.01 s while the other fly3 conditions end at 1837.30 s.
cond1_nogpsz/fly4,global_yaw_oc_projection alpha=1 GPS-Z OFF,artifacts/extracted/three_condition_comparison_package_20260605_1727/three_condition_comparison/cond1_nogpsz/fly4,traj.txt,traj.txt.bias,diag.csv,yaw_diag.csv,eval_start_yaw/yaw_mode_comparison.csv,C:/Users/baloney/Desktop/20260528_gsmq_d455_fly4/result/fc_rebuild_20260528/gps_from_mems_offsetm202p2_cam_time.csv,Complete trajectory; camera-time GPS source documented by existing flight evaluation tooling.
cond2_gpsz_original/fly1,original OpenVINS yaw GPS-Z ON,artifacts/extracted/three_condition_comparison_package_20260605_1727/three_condition_comparison/cond2_gpsz_original/fly1,traj.txt,traj.txt.bias,diag.csv,yaw_diag.csv,eval_start_yaw/yaw_mode_comparison.csv,config/d455_fly1/fc_gps_cam_time.csv,Complete trajectory.
cond2_gpsz_original/fly2,original OpenVINS yaw GPS-Z ON,artifacts/extracted/three_condition_comparison_package_20260605_1727/three_condition_comparison/cond2_gpsz_original/fly2,traj.txt,traj.txt.bias,diag.csv,yaw_diag.csv,eval_start_yaw/yaw_mode_comparison.csv,C:/Users/baloney/Desktop/20260518_gsmq_d455_fly2/result/fc_rebuild_20260525/gps_from_mems_offset447p5_cam_time.csv,FAILED partial run: package SUMMARY reports negative covariance diagonal crash at 1858.27 s.
cond2_gpsz_original/fly3,original OpenVINS yaw GPS-Z ON,artifacts/extracted/three_condition_comparison_package_20260605_1727/three_condition_comparison/cond2_gpsz_original/fly3,traj.txt,traj.txt.bias,diag.csv,yaw_diag.csv,eval_start_yaw/yaw_mode_comparison.csv,C:/Users/baloney/Desktop/20260527_gsmq_d455_fly3/result/fc_rebuild_20260527/gps_from_mems_offset438p0_cam_time.csv,Complete trajectory.
cond2_gpsz_original/fly4,original OpenVINS yaw GPS-Z ON,artifacts/extracted/three_condition_comparison_package_20260605_1727/three_condition_comparison/cond2_gpsz_original/fly4,traj.txt,traj.txt.bias,diag.csv,yaw_diag.csv,eval_start_yaw/yaw_mode_comparison.csv,C:/Users/baloney/Desktop/20260528_gsmq_d455_fly4/result/fc_rebuild_20260528/gps_from_mems_offsetm202p2_cam_time.csv,Complete trajectory.
cond3_oc_gpsz/fly1,global_yaw_oc_projection alpha=1 GPS-Z ON,artifacts/extracted/three_condition_comparison_package_20260605_1727/three_condition_comparison/cond3_oc_gpsz/fly1,traj.txt,traj.txt.bias,diag.csv,yaw_diag.csv,eval_start_yaw/yaw_mode_comparison.csv,config/d455_fly1/fc_gps_cam_time.csv,OC reference condition; complete trajectory.
cond3_oc_gpsz/fly2,global_yaw_oc_projection alpha=1 GPS-Z ON,artifacts/extracted/three_condition_comparison_package_20260605_1727/three_condition_comparison/cond3_oc_gpsz/fly2,traj.txt,traj.txt.bias,diag.csv,yaw_diag.csv,eval_start_yaw/yaw_mode_comparison.csv,C:/Users/baloney/Desktop/20260518_gsmq_d455_fly2/result/fc_rebuild_20260525/gps_from_mems_offset447p5_cam_time.csv,OC reference condition; complete trajectory.
cond3_oc_gpsz/fly3,global_yaw_oc_projection alpha=1 GPS-Z ON,artifacts/extracted/three_condition_comparison_package_20260605_1727/three_condition_comparison/cond3_oc_gpsz/fly3,traj.txt,traj.txt.bias,diag.csv,yaw_diag.csv,eval_start_yaw/yaw_mode_comparison.csv,C:/Users/baloney/Desktop/20260527_gsmq_d455_fly3/result/fc_rebuild_20260527/gps_from_mems_offset438p0_cam_time.csv,OC reference condition; complete trajectory.
cond3_oc_gpsz/fly4,global_yaw_oc_projection alpha=1 GPS-Z ON,artifacts/extracted/three_condition_comparison_package_20260605_1727/three_condition_comparison/cond3_oc_gpsz/fly4,traj.txt,traj.txt.bias,diag.csv,yaw_diag.csv,eval_start_yaw/yaw_mode_comparison.csv,C:/Users/baloney/Desktop/20260528_gsmq_d455_fly4/result/fc_rebuild_20260528/gps_from_mems_offsetm202p2_cam_time.csv,OC reference condition; complete trajectory.
