decision_id,date_range,hypothesis_or_generation,campaigns,flights,evidence_scope,verdict,production_action,retest_policy
P4-D001,20260712,"单行 FC 和一次有限窗可以建立 P4 基础链路","P4_clean_baseline_20260712;P4_online_joint_alignment_20260712;P4_arbitrary_start_20260712",fly1;fly3,short_and_partial,"历史链路成立但不是当前滑窗语义","仅作冻结参考","只有重建历史包身份时允许"
P4-D002,20260713-20260714,"固定 candidate 加递归验证等价于持续滑窗联合重估","P4_P5_redesign_20260713;P4_P5_redesign_20260714;P4_P5_window_count_*",fly1;fly3,short_and_full,"否决；只有缓存滑动和候选期递归滤波","冻结旧架构","禁止继续修改固定次数和 candidate 门限"
P4-D003,20260714,"window-count/duration 补丁能够修复旧架构","P4_P5_window_count_short_*;P4_P5_window_count_full_*;P4_diag_window_count_v8_fly1;P4_diag_window_count_v9_fly1",fly1;fly3,short_and_full,"否决；v6 旧证据不可外推，v8/v9 拒绝或无有效轨迹","保留失败证据","禁止重复"
P4-D004,20260715,"正式有限窗生命周期已经达到 full-flight acceptance","P4_formal_20260715",fly1;fly3,full_formal,"否决；运行完成但 fly3 严重退化","状态固定为 ACCEPTANCE_FAILED","只有新算法代际才允许重跑"
P4-D005,20260715,"P5 cadence 是当前 P4 航向漂移首要根因","P4_formal_20260715;P4_yaw_drift_causal_ablation_20260715",fly1;fly3,focus_and_full,"否决；固定与 active 共有漂移方向","P4 排查期间关闭 P5 active","P4 通过后再验 P5"
P4-D006,20260715-20260716,"P4 bg/ba feedback 是共同航向根因","P4_yaw_drift_causal_ablation_20260715;P4_yaw_bias_feedback_ablation_20260716_ultra",fly1;fly3,focus_and_full,"否决为共同根因；状态存在耦合但保留 bias 不消除漂移","不得用 retain_bias 冒充修复","新状态模型出现时才重测"
P4-D007,20260715,"baseline yaw OC/FEJ 选择制造共同漂移","P4_yaw_drift_causal_ablation_20260715",fly1;fly3,focus,"否决；不能同时改善两飞行","保留 baseline 合同","禁止重复相同 FEJ 切换"
P4-D008,20260715,"GPS-Z 更新制造共同 yaw 漂移","P4_yaw_drift_causal_ablation_20260715",fly1;fly3,focus,"否决；关闭和模式切换均不消除共同漂移","GPS-Z 仅处理高度","只有 GPS-Z 算法本身变化时重测"
P4-D009,20260715,"visual yaw 或 visual-to-bgz 单独制造漂移","P4_yaw_drift_causal_ablation_20260715",fly1;fly3,focus,"否决；视觉 yaw 总体是稳定器，冻结 bgz 不修复","不得删除视觉 yaw/bgz 通道","禁止重复"
P4-D010,20260715,"固定 gyro-z 残差可以解释并修复两飞行","P4_yaw_drift_causal_ablation_20260715",fly1;fly3,focus_symmetric,"否决；正负/跨飞行不满足反对称一致性","禁止固定 gyro-z 补偿","只有新标定证据时重测"
P4-D011,20260715,"SLAM 点整体是航向漂移制造者","P4_yaw_drift_causal_ablation_20260715",fly1;fly3,focus,"否决；no-SLAM 尤其使 fly3 恶化","SLAM 保留，按点质量继续诊断","禁止整体关闭作为修复"
P4-D012,20260715-20260716,"持续 FC-yaw 能证明生产修复","P4_P5_yaw_drift_root_cause_20260715;P4_yaw_drift_causal_ablation_20260715",fly1;fly3,focus_causal,"仅证明全局 yaw 偏差缺少绝对恢复观测；不证明误差写入源","FC/GPS yaw 仅诊断，生产禁止","除非用户改变输入合同"
P4-D013,20260715-20260716,"Camera-IMU 毫秒级时差是唯一根因","P4_yaw_drift_causal_ablation_20260715",fly1;fly3,focus_symmetric,"证据不足；无跨飞行单调因果响应","保持锁定标定","同源重标定后才重测"
P4-D014,20260716,"经验 T_C_I/K/D 扰动可直接成为生产补偿","P4_yaw_calibration_factorial_20260716_ultra",fly1;fly3,factorial_focus,"否决；证明 mixed-calibration 耦合但没有唯一真实参数","禁止经验角补偿","只允许同源标定和留一飞行验证"
P4-D015,20260716,"左转取右、右转取左的动态 ROI 可修复 yaw","P4_yaw_drift_causal_ablation_20260715",fly1;fly3,screen_and_focus,"已完整实现但否决；高度/尺度改变，XY/yaw 未通过","默认关闭 dynamic ROI","除非视觉信息模型变化，不重复同策略"
