"Paper / repository","Estimator family","Visual frontend","Decision target","Input signals","Decision formula","Hysteresis / dwell","Safety fallback","Max latency","Compute objective","Accuracy objective","Open-source status","Directly reusable code","Reusable idea only","Incompatible parts","Relevance to current P5","Evidence basis"
"OpenVINS: A Research Platform for Visual-Inertial Estimation / https://github.com/rpng/open_vins","filter; EKF/MSCKF","sparse KLT or descriptor option; current fork uses KLT","admitted camera frame; clone; MSCKF/SLAM feature update","stable feature IDs; raw/normalized observations; IMU propagation; clone age; feature loss; covariance","No adaptive cadence formula in upstream; each admitted backend frame propagates and clones; completed/lost tracks enter structureless update; max_msckf_in_update bounds feature count","Normal clone-window marginalization; FEJ fixes linearization references","Feature gating; nullspace projection; rejected/used tracks marked for deletion","Bounded by clone window, not an adaptive latency rule","Bound per-update features and keep real-time filter complexity","Consistent covariance and feature lifecycle under MSCKF","Official repository; GPL-3.0","Current fork TrackKLT, FeatureDatabase, VioManager, StateHelper, UpdaterMSCKF","Expose motion sidecar and split tracking-only from backend without changing filter","Second tracker, second map, BA window, replacing FEJ/covariance","High; it is the mandatory runtime substrate","Official paper; official repository; current fork source at TrackBase.h:54, TrackKLT.cpp:129, VioManager.cpp:3052, UpdaterMSCKF.cpp:395"
"A Multi-State Constraint Kalman Filter for Vision-aided Inertial Navigation / https://intra.ece.ucr.edu/~mourikis/papers/MourikisRoumeliotis-ICRA07.pdf","filter; EKF/MSCKF","tracked point features","multi-pose structureless feature constraint","feature observations across camera poses; IMU state and covariance","Stack feature residuals over camera poses; project through left nullspace of feature Jacobian; EKF update without retaining landmark state","Fixed state/pose window rather than adaptive dwell","Outlier rejection and removal of consumed feature track","No explicit adaptive maximum visual latency","Linear complexity in number of features","High-precision real-time navigation with consistent measurement model up to linearization error","Paper; no original official implementation linked","No external code required; current OpenVINS already implements the mechanism","A backend-selected frame must correspond to a real clone; a consumed track segment cannot be reused","Treating tracking-only observations as official clone observations","High; defines the lifecycle P5 must preserve","Original ICRA paper; current OpenVINS MSCKF implementation"
"Robust Stereo Visual Inertial Odometry for Fast Autonomous Flight (S-MSCKF) / https://github.com/KumarRobotics/msckf_vio","filter; stereo MSCKF","grid-distributed KLT; IMU-aided rotation compensation","feature processing and bounded filter update","KLT tracks; grid occupancy; IMU; feature count; update size","No target-parallax selector; frontend extracts/tracks bounded features and backend performs MSCKF update with bounded state/feature workload","Bounded camera-state window","Grid distribution; feature rejection; stereo constraint","No explicit adaptive maximum latency","Real-time autonomous flight on constrained compute","Maintain robustness at high speed while keeping MSCKF compute practical","Official repository; Penn Software License","No code import needed; current OpenVINS already has KLT/MSCKF equivalents","Frontend cadence matters; grid/spatial coverage and bounded update size","Stereo-specific measurement path and stationary initializer","High; filter and KLT workload are close to current fork","Paper https://arxiv.org/abs/1712.00036; official repository README/license"
"VINS-Mono: A Robust and Versatile Monocular Visual-Inertial State Estimator / https://github.com/HKUST-Aerial-Robotics/VINS-Mono","optimization; sliding-window bundle adjustment","KLT feature tracker","keyframe","average parallax relative to reference frame; tracked feature count; paper describes gyro rotation compensation","Force keyframe when last_track_num < 20; otherwise keyframe if mean compensatedParallax2 >= MIN_PARALLAX","Reference-keyframe logic; no explicit dwell","Low feature count forces selection","No explicit wall-time maximum in addFeatureCheckParallax","Avoid redundant keyframes while retaining geometric baseline","Maintain triangulation and estimator robustness","Official repository; GPL-3.0","No code import; formula can be reimplemented on current stable IDs","Reference-frame parallax; low-track force; distinguish rotation from translation","VINS-Mono BA window, marginalization, map, keyframe manager","High; directly motivates geometry-driven frame selection","Paper https://arxiv.org/abs/1708.03852; official feature_manager.cpp. Public compensatedParallax2 leaves rotation compensation commented and sets p_i_comp=p_i"
"Resource-aware Online Parameter Adaptation for Computationally-constrained VINS / https://arxiv.org/abs/2106.00289","policy over filter and optimization systems","inherits S-MSCKF/VINS-Mono/OKVIS frontends","frame processing; feature count; iterations; optimizer window","mean angular velocity and acceleration over fixed window; CPU profile; processed-frame queue","Resource difference Delta drives frame dropping, feature count Phi, iterations Lambda and selected window sizes; kappa_f and kappa_p gate repeated changes","Explicit frame-drop cooldown kappa_f and parameter-change cooldown kappa_p","Queue limits consecutive dropped frames and adapts agility threshold","Indirect via processed-frame count window; no geometry-based maximum latency","Reduce CPU while preserving comparable trajectory accuracy","Whole-trajectory translation/rotation RMSE versus resource use","Paper found; no official code repository linked","None","Separate motion/resource inputs; cooldown; profile before online control","Using CPU or motion magnitude as a triangulation safety rule; optimizer window changes","High for scheduler governance; medium for geometry","Original paper and algorithm pseudocode"
"A Versatile Keyframe-Based Structureless Filter for Visual Inertial Odometry / https://arxiv.org/abs/2012.15170","keyframe-based structureless filter","BRISK/descriptor association in paper","ordinary frame versus keyframe; state retention","convex-hull area overlap o_k; landmark match ratio r_k; completed feature tracks","Select keyframe if max_k(o_k) < T_o or max_k(r_k) < T_r; typical paper values 60% and 20%","Keyframe/ordinary-frame state management; no separate time dwell stated","Low overlap or match ratio forces keyframe","No explicit maximum latency","Keep structureless filter efficient while retaining informative states","Consistent covariance, robustness and self-calibration observability","Paper/author page; no official implementation identified in reviewed sources","None","Ordinary versus selected frames; spatial coverage; feature association health","Descriptor frontend, rolling-shutter/self-calibration states, KSF state manager","High; closest filter-family conceptual reference","Paper sections on frontend keyframe selection and filter workflow"
"Observability Analysis and Keyframe-Based Filtering for VIO with Full Self-Calibration / https://arxiv.org/abs/2201.04989","keyframe sliding-window filter","point-feature tracking","keyframe/state retention under low parallax or standstill","feature observations; rolling-shutter timing; calibration-state observability; motion","Keyframe-based filter retains selected poses/landmarks to avoid standstill drift; paper focus is observability rather than a universal cadence threshold","Keyframe retention provides temporal persistence","Retain keyframes/landmarks during low-parallax conditions","No general maximum visual latency rule extracted","Bound sliding-window filter while preserving calibration information","Observability and consistency under general motion and standstill","Paper and author page; no official code identified","None","Low-parallax must have explicit state/observability semantics","Online full self-calibration and rolling-shutter state expansion","Medium; useful observability reference, not a drop-in scheduler","Original paper; author publication page"
"IC-GVINS: A Robust Real-time INS-Centric GNSS-Visual-Inertial Navigation System / https://github.com/i2Nav-WHU/IC-GVINS","factor graph; INS-centric GNSS/VIO","INS-assisted LK and triangulation","keyframe and temporary observation frame","INS pose prior; rotation-compensated average parallax; feature tracks; elapsed time","Choose keyframe when rotation-compensated average parallax exceeds threshold; paper example 20 px; if no keyframe for about 0.5 s insert one observation frame","Reference-frame selection; time fallback","Strict parallax/depth/outlier checks; INS pose initializes LK and triangulation","About 0.5 s observation-frame fallback in paper","Avoid redundant optimization while preventing visual-update starvation","Robust tracking/triangulation under high dynamics","Official repository; GPL-3.0; reviewed commit 644eed9e02c1239d6788f5b19123559735ca1b9e","No code import; current fork can reproduce geometry using board IMU and stable IDs","IMU rotation compensation; strict geometry; maximum latency","GNSS factors, factor graph, keyframe queue, wheel/INS-specific backend","High","Paper https://arxiv.org/abs/2204.04962; official tracking/tracking.cc and tracking.h"
"FAST-LIVO2 on Resource-Constrained Platforms / https://arxiv.org/abs/2501.13876","ESIKF LiDAR-inertial-visual hybrid","direct visual alignment","visual frame selection","normalized singular values of LiDAR normal matrix; consecutive degeneration state; pose change","Normalize SVD(n_est n_est^T); confirm degeneration after multiple frames; degenerate uses all images; otherwise pose-change threshold tau=sqrt(3)*sigma_min_tilde*tau_predefined","Consecutive-frame degeneration confirmation","Dense visual processing during LiDAR degeneration","No independent maximum latency stated; degeneration forces all frames","Reduce visual runtime and memory on ARM","Similar robustness/accuracy with measured compute reduction","Official FAST-LIVO2 repo GPL-2.0; reviewed main commit 0d2c0346107b75b59934975adec9a6eeeb913c64 does not contain the paper selector implementation found by search","None from selector","Confirmed-degradation state, immediate dense fallback, conservative recovery","LiDAR degeneration metric, direct photometric/LIVO map","Medium; safety-state concept only","Paper; official repository tree and source search"
"Efficient Deep Visual and Inertial Odometry with Adaptive Visual Modality Selection / https://github.com/mingyuyng/Visual-Selective-VIO","learned recurrent VIO","learned visual encoder","visual modality use/skip","current IMU embedding; previous recurrent hidden state","p_t=Phi(h_{t-1},x_i^t); binary decision via Gumbel-Softmax/Bernoulli; L=L_pose+lambda/(T-1)*sum d_t","Recurrent hidden state; no deterministic safety dwell","Policy can select vision; no classical geometry fail-safe","No deterministic maximum latency guarantee","Penalize visual use to reduce compute","Pose loss under learned selection","Official repository reviewed at 27b06b38dcf07a015fba22038050113462387e7d; no root license file","None","System insight that full vision is not required every instant","Training dependency, learned frontend/backend, nondeterministic safety, unspecified license","Low as implementation; medium as negative/system reference","Paper https://arxiv.org/abs/2205.06187; official PolicyNet and gumbel_softmax code"
